ExtID,Level,Type,Width,Behavior,Description, 
1,9.0233$,Support,,,161.8% of 3.0482-6.7411,
2,12.7162$,Support,,,261.8% of 3.0482-6.7411,
3,18.6913$,Support,,,423.6% of 3.0482-6.7411,
4,28.3593$,Support,,,685.4% of 3.0482-6.7411,
5,29.7969$,Support,,,161.8% of 14.1618-23.8250,
6,38.2154$,Support,,,161.8% of 23.4350-32.5700,
7,39.4601$,Support,,,261.8% of 14.1618-23.8250,
8,44.0025$,Support,,,1109.0% of 3.0482-6.7411,
9,47.3504$,Support,,,261.8% of 23.4350-32.5700,
10,55.0951$,Support,,,423.6% of 14.1618-23.8250,
11,62.1309$,Support,,,423.6% of 23.4350-32.5700,
12,68.5095$,Support,2.38%,Semi-Support,161.8% of 39.4350-56.9075 & 1794.4% of 3.0482-6.7411,
13,80.3934$,Resistance,,Breakout,685.4% of 14.1618-23.8250,
14,85.6121$,Resistance,1.02%,Breakout,261.8% of 39.4350-56.9075 & 685.4% of 23.4350-32.5700,
15,110.2679$,Resistance,,Breakout,2903.4% of 3.0482-6.7411,
16,113.4485$,Resistance,,Resistance,423.6% of 39.4350-56.9075,
17,121.3267$,Resistance,,Resistance,1109.0% of 14.1618-23.8250,
18,124.7422$,Resistance,,Resistance,1109.0% of 23.4350-32.5700,
19,159.1915$,Resistance,,Breakout,685.4% of 39.4350-56.9075,
20,176.5333$,Resistance,,Resistance,4697.8% of 3.0482-6.7411,
21,187.4558$,Resistance,0.11%,Breakout,1794.4% of 23.4350-32.5700 & 1794.4% of 14.1618-23.8250,
22,233.2050$,Resistance,,,1109.0% of 39.4350-56.9075,
23,289.2380$,Resistance,3.87%,,7601.2% of 3.0482-6.7411 & 2903.4% of 23.4350-32.5700 & 2903.4% of 14.1618-23.8250,
,,,,,,
Ticker:,AAPL,Current Date:,31 Dec 2019,Current Price:,73.4125$,
,From: 31 Dec 1980,To: 31 Oct 2023,By: Monthly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
