ExtID,Level,Type,Width,Behavior,Description, 
1,0.5177$,Resistance,1.22%,Breakout,161.8% of 0.2924-0.4297 & 161.8% of 0.2500-0.4174,
2,0.6519$,Resistance,,Semi-Breakout,261.8% of 0.2924-0.4297,
3,0.6883$,Resistance,,Semi-Breakout,261.8% of 0.2500-0.4174,
4,0.8096$,Resistance,,Breakout,161.8% of 0.3672-0.6406,
5,0.8503$,Resistance,,Semi-Breakout,161.8% of 0.2020-0.6027,
6,0.8740$,Resistance,,Breakout,423.6% of 0.2924-0.4297,
7,0.9591$,Resistance,,Semi-Breakout,423.6% of 0.2500-0.4174,
8,1.0830$,Resistance,,Semi-Breakout,261.8% of 0.3672-0.6406,
9,1.2422$,Resistance,1.42%,Resistance,685.4% of 0.2924-0.4297 & 261.8% of 0.2020-0.6027,
10,1.3974$,Resistance,,Breakout,685.4% of 0.2500-0.4174,
11,1.5253$,Resistance,,Semi-Resistance,423.6% of 0.3672-0.6406,
12,1.8151$,Resistance,,Breakout,1109.0% of 0.2924-0.4297,
13,1.8994$,Resistance,,Semi-Breakout,423.6% of 0.2020-0.6027,
14,2.1065$,Resistance,,Breakout,1109.0% of 0.2500-0.4174,
15,2.2411$,Resistance,,Breakout,685.4% of 0.3672-0.6406,
16,2.7561$,Resistance,,Resistance,1794.4% of 0.2924-0.4297,
17,2.9484$,Resistance,,Resistance,685.4% of 0.2020-0.6027,
18,3.2538$,Resistance,,Semi-Resistance,1794.4% of 0.2500-0.4174,
19,3.3992$,Resistance,,Resistance,1109.0% of 0.3672-0.6406,
20,4.2788$,Resistance,,Breakout,2903.4% of 0.2924-0.4297,
21,4.6458$,Resistance,,Semi-Breakout,1109.0% of 0.2020-0.6027,
22,5.1103$,Resistance,,Resistance,2903.4% of 0.2500-0.4174,
23,5.2731$,Resistance,,Semi-Breakout,1794.4% of 0.3672-0.6406,
24,6.7425$,Resistance,,Semi-Resistance,4697.8% of 0.2924-0.4297,
25,7.3922$,Resistance,,Resistance,1794.4% of 0.2020-0.6027,
26,8.2096$,Resistance,2.35%,Breakout,4697.8% of 0.2500-0.4174 & 2903.4% of 0.3672-0.6406,
27,10.7288$,Resistance,,Breakout,7601.2% of 0.2924-0.4297,
28,11.8359$,Resistance,,Breakout,2903.4% of 0.2020-0.6027,
29,13.0927$,Resistance,1.82%,Semi-Breakout,7601.2% of 0.2500-0.4174 & 4697.8% of 0.3672-0.6406,
30,19.0261$,Resistance,,Breakout,4697.8% of 0.2020-0.6027,
31,21.1489$,Resistance,,Semi-Resistance,7601.2% of 0.3672-0.6406,
32,30.6600$,Resistance,,Breakout,7601.2% of 0.2020-0.6027,
,,,,,,
Ticker:,AAPL,Current Date:,20 Mar 1994,Current Price:,0.3248$,
,From: 14 Dec 1980,To: 12 Nov 2023,By: Weekly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
