ExtID,Level,Type,Width,Behavior,Description, 
1,0.6097$,Support,,,161.8% of 0.2343-0.4663,
2,0.8417$,Support,,,261.8% of 0.2343-0.4663,
3,1.2171$,Support,,,423.6% of 0.2343-0.4663,
4,1.8377$,Support,1.45%,,685.4% of 0.2343-0.4663 & 161.8% of 1.2189-1.6095,
5,2.2415$,Support,,,261.8% of 1.2189-1.6095,
6,2.8403$,Support,2.36%,,1109.0% of 0.2343-0.4663 & 423.6% of 1.2189-1.6095,
7,3.8961$,Support,,,685.4% of 1.2189-1.6095,
8,4.3973$,Support,,,1794.4% of 0.2343-0.4663,
9,5.5507$,Support,,,1109.0% of 1.2189-1.6095,
10,6.9702$,Resistance,,Semi-Breakout,2903.4% of 0.2343-0.4663,
11,8.2278$,Resistance,,Breakout,1794.4% of 1.2189-1.6095,
12,8.9175$,Resistance,,Semi-Breakout,161.8% of 4.2554-7.1368,
13,9.2510$,Resistance,,Semi-Breakout,161.8% of 2.7929-6.7843,
14,11.1332$,Resistance,,Semi-Breakout,4697.8% of 0.2343-0.4663,
15,11.7989$,Resistance,,Breakout,261.8% of 4.2554-7.1368,
16,12.5596$,Resistance,,Semi-Resistance,2903.4% of 1.2189-1.6095,
17,13.2424$,Resistance,,Semi-Breakout,261.8% of 2.7929-6.7843,
18,16.4610$,Resistance,,Breakout,423.6% of 4.2554-7.1368,
19,17.8691$,Resistance,,Breakout,7601.2% of 0.2343-0.4663,
20,19.6345$,Resistance,0.67%,Breakout,4697.8% of 1.2189-1.6095 & 423.6% of 2.7929-6.7843,
21,24.0045$,Resistance,,Semi-Resistance,685.4% of 4.2554-7.1368,
22,30.1500$,Resistance,,Breakout,685.4% of 2.7929-6.7843,
23,30.9092$,Resistance,,Breakout,7601.2% of 1.2189-1.6095,
24,36.2101$,Resistance,,Semi-Breakout,1109.0% of 4.2554-7.1368,
25,47.0575$,Resistance,,Semi-Breakout,1109.0% of 2.7929-6.7843,
26,55.9592$,Resistance,,Semi-Resistance,1794.4% of 4.2554-7.1368,
27,74.4146$,Resistance,,Semi-Resistance,1794.4% of 2.7929-6.7843,
28,87.9140$,Resistance,,Semi-Breakout,2903.4% of 4.2554-7.1368,
29,118.6792$,Resistance,,Vibration,2903.4% of 2.7929-6.7843,
30,139.6178$,Resistance,,Semi-Resistance,4697.8% of 4.2554-7.1368,
31,190.3009$,Resistance,,Semi-Resistance,4697.8% of 2.7929-6.7843,
32,223.2764$,Resistance,,,7601.2% of 4.2554-7.1368,
33,306.1872$,Resistance,,,7601.2% of 2.7929-6.7843,
,,,,,,
Ticker:,AAPL,Current Date:,23 Jul 2009,Current Price:,5.6364$,
,From: 12 Dec 1980,To: 10 Nov 2023,By: Daily,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
