ExtID,Level,Type,Width,Behavior,Description, 
1,12.4729$,Support,,,161.8% of 8.9465-11.1260,
2,14.6312$,Support,0.29%,Support,161.8% of 8.6550-12.3355 & 261.8% of 8.9465-11.1260,
3,18.2347$,Resistance,0.61%,Breakout,423.6% of 8.9465-11.1260 & 261.8% of 8.6550-12.3355,
4,20.1454$,Resistance,,Breakout,161.8% of 14.3530-17.9330,
5,23.8767$,Resistance,3.14%,Breakout,161.8% of 14.6120-20.1100 & 261.8% of 14.3530-17.9330 & 685.4% of 8.9465-11.1260 & 423.6% of 8.6550-12.3355,
6,29.2619$,Resistance,1.77%,Breakout,261.8% of 14.6120-20.1100 & 423.6% of 14.3530-17.9330,
7,33.4992$,Resistance,2.31%,Resistance,1109.0% of 8.9465-11.1260 & 685.4% of 8.6550-12.3355,
8,37.9015$,Resistance,,Breakout,423.6% of 14.6120-20.1100,
9,38.8903$,Resistance,,Semi-Resistance,685.4% of 14.3530-17.9330,
10,48.0554$,Resistance,,Breakout,1794.4% of 8.9465-11.1260,
11,49.4717$,Resistance,,Breakout,1109.0% of 8.6550-12.3355,
12,52.2953$,Resistance,,Resistance,685.4% of 14.6120-20.1100,
13,54.0552$,Resistance,,Resistance,1109.0% of 14.3530-17.9330,
14,72.2261$,Resistance,,Semi-Resistance,2903.4% of 8.9465-11.1260,
15,75.1414$,Resistance,1.19%,Semi-Breakout,1794.4% of 8.6550-12.3355 & 1109.0% of 14.6120-20.1100,
16,78.5925$,Resistance,,Resistance,1794.4% of 14.3530-17.9330,
17,114.8149$,Resistance,6.25%,Breakout,4697.8% of 8.9465-11.1260 & 1794.4% of 14.6120-20.1100 & 2903.4% of 8.6550-12.3355 & 2903.4% of 14.3530-17.9330,
18,174.4278$,Resistance,0.21%,Resistance,2903.4% of 14.6120-20.1100 & 7601.2% of 8.9465-11.1260,
19,182.0459$,Resistance,0.54%,Resistance,4697.8% of 8.6550-12.3355 & 4697.8% of 14.3530-17.9330,
20,272.8970$,Resistance,,,4697.8% of 14.6120-20.1100,
21,286.4760$,Resistance,,,7601.2% of 14.3530-17.9330,
,,,,,,
Ticker:,AMZN,Current Date:,11 Jan 2015,Current Price:,14.8465$,
,From: 18 May 1997,To: 12 Nov 2023,By: Weekly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
