ExtID,Level,Type,Width,Behavior,Description, 
1,13.5944$,Resistance,,Breakout,161.8% of 8.4060-11.6127,
2,16.8011$,Resistance,,Breakout,261.8% of 8.4060-11.6127,
3,21.9896$,Resistance,,Breakout,423.6% of 8.4060-11.6127,
4,24.7691$,Resistance,,Breakout,161.8% of 6.5363-17.8050,
5,30.3847$,Resistance,,Resistance,685.4% of 8.4060-11.6127,
6,36.0378$,Resistance,,Breakout,261.8% of 6.5363-17.8050,
7,43.9683$,Resistance,,Breakout,1109.0% of 8.4060-11.6127,
8,54.2705$,Resistance,,Semi-Breakout,423.6% of 6.5363-17.8050,
9,65.9470$,Resistance,,Breakout,1794.4% of 8.4060-11.6127,
10,83.7720$,Resistance,,Semi-Breakout,685.4% of 6.5363-17.8050,
11,101.5093$,Resistance,,Breakout,2903.4% of 8.4060-11.6127,
12,131.5062$,Resistance,,Breakout,1109.0% of 6.5363-17.8050,
13,159.0504$,Resistance,,,4697.8% of 8.4060-11.6127,
14,208.7419$,Resistance,,,1794.4% of 6.5363-17.8050,
15,252.1537$,Resistance,,,7601.2% of 8.4060-11.6127,
,,,,,,
Ticker:,GOOG,Current Date:,19 Jul 2009,Current Price:,10.7161$,
,From: 22 Aug 2004,To: 12 Nov 2023,By: Weekly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
