ExtID,Level,Type,Width,Behavior,Description, 
1,15.0493$,Support,,,161.8% of 9.9756-13.1114,
2,17.1902$,Support,,,161.8% of 12.6122-15.4416,
3,18.1851$,Support,,,261.8% of 9.9756-13.1114,
4,20.0196$,Support,,,261.8% of 12.6122-15.4416,
5,23.2588$,Support,,,423.6% of 9.9756-13.1114,
6,24.5975$,Support,,,423.6% of 12.6122-15.4416,
7,31.7366$,Support,1.70%,,685.4% of 9.9756-13.1114 & 685.4% of 12.6122-15.4416,
8,44.3709$,Resistance,1.73%,Breakout,1109.0% of 12.6122-15.4416 & 1109.0% of 9.9756-13.1114,
9,63.3830$,Resistance,,Resistance,1794.4% of 12.6122-15.4416,
10,66.2444$,Resistance,,Resistance,1794.4% of 9.9756-13.1114,
11,94.7610$,Resistance,,Breakout,2903.4% of 12.6122-15.4416,
12,101.0204$,Resistance,,Breakout,2903.4% of 9.9756-13.1114,
13,145.5318$,Resistance,,Semi-Resistance,4697.8% of 12.6122-15.4416,
14,157.2892$,Resistance,,,4697.8% of 9.9756-13.1114,
15,227.6806$,Resistance,,,7601.2% of 12.6122-15.4416,
16,248.3340$,Resistance,,,7601.2% of 9.9756-13.1114,
,,,,,,
Ticker:,GOOG,Current Date:,31 Mar 2017,Current Price:,41.4780$,
,From: 30 Sep 2004,To: 30 Sep 2023,By: Quarterly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
