ExtID,Level,Type,Width,Behavior,Description, 
1,203.6378$,Support,,Breakout,161.8% of 159.7900-186.8900,
2,232.0669$,Resistance,1.15%,Breakout,261.8% of 159.7900-186.8900 & 161.8% of 131.0900-194.3200,
3,274.5856$,Resistance,,Resistance,423.6% of 159.7900-186.8900,
4,296.6261$,Resistance,,Breakout,261.8% of 131.0900-194.3200,
5,345.5334$,Resistance,,Breakout,685.4% of 159.7900-186.8900,
6,398.9323$,Resistance,,,423.6% of 131.0900-194.3200,
7,460.3290$,Resistance,,,1109.0% of 159.7900-186.8900,
8,564.4684$,Resistance,,,685.4% of 131.0900-194.3200,
,,,,,,
Ticker:,META,Current Date:,31 Dec 2019,Current Price:,205.2500$,
,From: 31 May 2012,To: 31 Oct 2023,By: Monthly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
