TransID,Position,EnterDate,EnterPrice,ExitDate,ExitPrice,Offset,Profit,CumProfit,X, 
1,Long,31 Dec 1980,0.1523$,31 Jan 1981,0.1261$,-17.20%,-17.2029%,-17.2029%,F, 
2,Short,28 Feb 1981,0.1183$,30 Apr 1981,0.1267$,7.10%,-7.1006%,-24.3035%,F, 
3,Long,31 May 1981,0.1479$,30 Jun 1981,0.1161$,-21.50%,-21.5010%,-45.8045%,F, 
4,Short,31 Jul 1981,0.1116$,31 Oct 1981,0.0893$,-19.98%,19.9821%,-25.8224%,T, 
5,Short,30 Nov 1981,0.0831$,31 Dec 1981,0.0988$,18.89%,-18.8929%,-44.7153%,F, 
6,Short,31 Jan 1982,0.0910$,31 Jul 1982,0.0603$,-33.74%,33.7363%,-10.9791%,T, 
7,Long,31 Aug 1982,0.0804$,31 Dec 1982,0.1334$,65.92%,65.9204%,54.9413%,T, 
8,Long,31 Jan 1983,0.1825$,31 Mar 1983,0.1886$,3.34%,3.3425%,58.2838%,T, 
9,Long,30 Apr 1983,0.2254$,30 Jun 1983,0.2182$,-3.19%,-3.1943%,55.0895%,F, 
10,Short,31 Jul 1983,0.1557$,31 Aug 1983,0.1663$,6.81%,-6.8080%,48.2815%,F, 
11,Short,30 Sep 1983,0.1032$,31 Dec 1983,0.1088$,5.43%,-5.4264%,42.8552%,F, 
12,Long,31 Jan 1984,0.1105$,31 Mar 1984,0.1105$,0.00%,0.0000%,42.8552%,F, 
13,Long,30 Apr 1984,0.1401$,31 May 1984,0.1311$,-6.42%,-6.4240%,36.4312%,F, 
14,Short,30 Jun 1984,0.1183$,31 Aug 1984,0.1183$,0.00%,-0.0000%,36.4312%,F, 
15,Short,30 Sep 1984,0.1122$,31 Dec 1984,0.1300$,15.86%,-15.8645%,20.5667%,F, 
16,Short,31 Jan 1985,0.1295$,30 Jun 1985,0.0804$,-37.92%,37.9151%,58.4817%,T, 
17,Short,31 Jul 1985,0.0709$,30 Sep 1985,0.0703$,-0.85%,0.8463%,59.3280%,T, 
18,Long,31 Oct 1985,0.0831$,30 Jun 1986,0.1602$,92.78%,92.7798%,152.1078%,T, 
19,Short,31 Jul 1986,0.1395$,31 Aug 1986,0.1652$,18.42%,-18.4229%,133.6848%,F, 
20,Short,30 Sep 1986,0.1496$,31 Oct 1986,0.1546$,3.34%,-3.3422%,130.3426%,F, 
21,Long,30 Nov 1986,0.1786$,31 Mar 1987,0.2879$,61.20%,61.1982%,191.5408%,T, 
22,Long,30 Apr 1987,0.3538$,31 May 1987,0.3527$,-0.31%,-0.3109%,191.2299%,F, 
23,Long,30 Jun 1987,0.3616$,31 Oct 1987,0.3449$,-4.62%,-4.6184%,186.6115%,F, 
24,Short,30 Nov 1987,0.2946$,31 Dec 1987,0.3750$,27.29%,-27.2912%,159.3203%,F, 
25,Short,31 Jan 1988,0.3705$,29 Feb 1988,0.3839$,3.62%,-3.6167%,155.7035%,F, 
26,Short,31 Mar 1988,0.3571$,30 Apr 1988,0.3661$,2.52%,-2.5203%,153.1832%,F, 
27,Long,31 May 1988,0.3705$,31 Jul 1988,0.3962$,6.94%,6.9366%,160.1198%,T, 
28,Short,31 Aug 1988,0.3560$,30 Sep 1988,0.3862$,8.48%,-8.4831%,151.6367%,F, 
29,Short,31 Oct 1988,0.3449$,31 Dec 1988,0.3594$,4.20%,-4.2041%,147.4325%,F, 
30,Short,31 Jan 1989,0.3371$,30 Apr 1989,0.3482$,3.29%,-3.2928%,144.1398%,F, 
