TransID,Position,EnterDate,EnterPrice,ExitDate,ExitPrice,Offset,Profit,CumProfit,X, 
1,Long,31 Aug 2004,2.5497$,30 Nov 2004,4.5325$,77.77%,77.7660%,77.7660%,T, 
2,Long,31 Dec 2004,4.8018$,31 Jan 2005,4.8722$,1.47%,1.4661%,79.2321%,T, 
3,Short,28 Feb 2005,4.6822$,30 Apr 2005,5.4795$,17.03%,-17.0283%,62.2038%,F, 
4,Long,31 May 2005,6.9059$,31 Jul 2005,7.1671$,3.78%,3.7823%,65.9861%,T, 
5,Short,31 Aug 2005,7.1233$,30 Sep 2005,7.8820$,10.65%,-10.6510%,55.3351%,F, 
6,Long,31 Oct 2005,9.2688$,28 Feb 2006,9.0316$,-2.56%,-2.5591%,52.7760%,F, 
7,Long,31 Mar 2006,9.7136$,31 May 2006,9.2608$,-4.66%,-4.6615%,48.1145%,F, 
8,Long,30 Jun 2006,10.4441$,31 Jul 2006,9.6289$,-7.81%,-7.8054%,40.3091%,F, 
9,Short,31 Aug 2006,9.4279$,30 Sep 2006,10.0100$,6.17%,-6.1742%,34.1349%,F, 
10,Long,31 Oct 2006,11.8653$,31 Dec 2006,11.4690$,-3.34%,-3.3400%,30.7949%,F, 
11,Long,31 Jan 2007,12.4907$,28 Feb 2007,11.1943$,-10.38%,-10.3789%,20.4160%,F, 
12,Long,31 Mar 2007,11.4112$,31 Jul 2007,12.7024$,11.32%,11.3152%,31.7312%,T, 
13,Long,31 Aug 2007,12.8331$,30 Nov 2007,17.2603$,34.50%,34.4983%,66.2295%,T, 
14,Long,31 Dec 2007,17.2224$,31 Jan 2008,14.0548$,-18.39%,-18.3923%,47.8371%,F, 
15,Short,29 Feb 2008,11.7355$,30 Apr 2008,14.3036$,21.88%,-21.8832%,25.9540%,F, 
16,Long,31 May 2008,14.5903$,30 Jun 2008,13.1114$,-10.14%,-10.1362%,15.8178%,F, 
17,Short,31 Jul 2008,11.7995$,31 Dec 2008,7.6625$,-35.06%,35.0608%,50.8786%,T, 
18,Long,31 Jan 2009,8.4316$,31 Jan 2010,13.1990$,56.54%,56.5421%,107.4207%,T, 
19,Short,28 Feb 2010,13.1208$,31 Mar 2010,14.1251$,7.65%,-7.6543%,99.7664%,F, 
20,Short,30 Apr 2010,13.0934$,31 Jul 2010,12.0760$,-7.77%,7.7703%,107.5367%,T, 
21,Short,31 Aug 2010,11.2085$,30 Sep 2010,13.0957$,16.84%,-16.8372%,90.6995%,F, 
22,Long,31 Oct 2010,15.2852$,30 Nov 2010,13.8409$,-9.45%,-9.4490%,81.2505%,F, 
23,Long,31 Dec 2010,14.7938$,31 Mar 2011,14.6142$,-1.21%,-1.2140%,80.0365%,F, 
24,Short,30 Apr 2011,13.5517$,31 Jul 2011,15.0359$,10.95%,-10.9521%,69.0843%,F, 
25,Short,31 Aug 2011,13.4735$,31 Oct 2011,14.7607$,9.55%,-9.5536%,59.5308%,F, 
26,Long,30 Nov 2011,14.9288$,31 Jan 2012,14.4486$,-3.22%,-3.2166%,56.3142%,F, 
27,Long,29 Feb 2012,15.3985$,30 Apr 2012,15.0648$,-2.17%,-2.1671%,54.1471%,F, 
28,Short,31 May 2012,14.4673$,30 Jun 2012,14.4476$,-0.14%,0.1362%,54.2832%,T, 
29,Long,31 Jul 2012,15.7652$,31 Oct 2012,16.9440$,7.48%,7.4772%,61.7605%,T, 
